Locus_ID,Description,GO
Os07g0635900,Hydrophobic protein LTI6A (Low temperature-induced protein 6A).,Cellular Component: integral to membrane (GO:0016021)
Os07g0636000,Similar to H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Nucleolar protein NAP57 homolog) (Nopp-140 associated protein of 57 kDa homolog) (AtNAP57).,"Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA processing (GO:0006396), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)"
Os07g0636400,Similar to ribonuclease P.,
Os07g0637000,Similar to CBL-interacting protein kinase 21.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: signal transduction (GO:0007165), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0637100,"Molecular chaperone, heat shock protein, Hsp40, DnaJ domain containing protein.",Molecular Function: heat shock protein binding (GO:0031072)
Os07g0637150,Similar to DnaJ domain containing protein.,
Os07g0637200 ,"Protein of unknown function DUF537 family protein., Hypothetical conserved gene. ",Cellular Component: peroxisome (GO:0005777)
Os07g0637300,Similar to Pyruvate dehydrogenase kinase.,"Biological Process: signal transduction (GO:0007165), Biological Process: phosphorylation (GO:0016310), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0638100,"Six-bladed beta-propeller, TolB-like domain containing protein.",
Os07g0639600,"Peptidase C15, pyroglutamyl peptidase I family protein.",Biological Process: proteolysis (GO:0006508)
Os07g0639800 ,Similar to Eukaryotic translation initiation factor 6 (Fragment). ,"Biological Process: mature ribosome assembly (GO:0042256), Molecular Function: ribosome binding (GO:0043022)"
Os07g0639900,Thymidylate kinase-like protein.,"Biological Process: dTDP biosynthetic process (GO:0006233), Molecular Function: thymidylate kinase activity (GO:0004798), Molecular Function: ATP binding (GO:0005524)"
Os07g0640000,Similar to PRMT3 (PROTEIN ARGININE METHYLTRANSFERASE 3); methyltransferase/ zinc ion binding.,
Os07g0640200,"Carbohydrate kinase, FGGY family protein.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)"
Os07g0641600,SAM (and some other nucleotide) binding motif domain containing protein.,
Os07g0641700 ,"Similar to 10 kDa chaperonin (Protein CPN10) (Protein groES)., Similar to 10 kDa chaperonin. ","Biological Process: protein folding (GO:0006457), Cellular Component: cytoplasm (GO:0005737)"
Os07g0642100,"Nucleic acid-binding, OB-fold domain containing protein.",
Os07g0642200,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os07g0642600,"Transcription elongation factor, TFIIS/CRSP70, N-terminal domain containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)"
Os07g0642800,Similar to plectin-related.,
Os07g0643100,Alpha/beta hydrolase fold-3 domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)"
Os07g0643700,Alpha/beta hydrolase fold-3 domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)"
Os07g0644000,"ATP12, ATPase F1F0-assembly protein domain containing protein.",Biological Process: proton-transporting ATP synthase complex assembly (GO:0043461)
Os07g0644100,"bZIP transcription factor, bZIP-1 domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)"
Os07g0644200 ,"Similar to NodH (Fragment)., Hypothetical conserved gene. ","Molecular Function: sulfotransferase activity (GO:0008146), "
Os07g0644600,Cytochrome P450 family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
Os07g0645000,Allergen V5/Tpx-1 related family protein.,
Os07g0645200,Similar to FAT domain-containing protein.,
Os07g0645500,Similar to predicted protein.,
Os07g0646100,Similar to predicted protein.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
Os07g0646300 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",
Os07g0646600,Conserved hypothetical protein.,
Os07g0647100,Mo25-like domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0647300,Conserved hypothetical protein.,
Os07g0647900,"DEAD-like helicase, N-terminal domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)"
Os07g0648266,"Similar to 2-oxo acid dehydrogenase, lipoyl-binding site.","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)"
Os07g0650600 ,"Similar to BLE2 protein., Hypothetical conserved gene., BLE2 protein. ","Molecular Function: binding (GO:0005488), "
Os07g0654500,Hypothetical protein.,
Os07g0655300,Kelch related domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0655900 ,"SNARE associated Golgi protein domain containing protein., Similar to predicted protein. ",
Os07g0656200,Similar to Beta-glucosidase 26.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)"
Os07g0656500,"Similar to Magnesium-chelatase subunit H family protein, expressed.","Biological Process: biosynthetic process (GO:0009058), Biological Process: chlorophyll biosynthetic process (GO:0015995), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium chelatase activity (GO:0016851)"
Os07g0656600,Uncharacterised conserved protein UCP022348 domain containing protein.,
Os07g0656800,Similar to catalytic/ methyltransferase.,"Biological Process: metabolic process (GO:0008152), Cellular Component: cytoplasm (GO:0005737), Molecular Function: thiopurine S-methyltransferase activity (GO:0008119)"
Os07g0656900,Similar to Serine carboxypepsidase (Fragment).,"Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)"
Os07g0657600,Hypothetical conserved gene.,"Biological Process: DNA repair (GO:0006281), Biological Process: base-excision repair (GO:0006284), Molecular Function: catalytic activity (GO:0003824)"
Os07g0657900 ,"Similar to Thioredoxin reductase., NADPH thioredoxin reductase, Chloroplast detoxification ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: removal of superoxide radicals (GO:0019430), Biological Process: cell redox homeostasis (GO:0045454), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: thioredoxin-disulfide reductase activity (GO:0004791), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: flavin adenine dinucleotide binding (GO:0050660), Cellular Component: cytoplasm (GO:0005737)"
Os07g0658000,Conserved hypothetical protein.,
Os07g0658100,Conserved hypothetical protein.,
Os07g0658200 ,Similar to 30S ribosomal protein S9. ,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os07g0658300 ,"Rho GTPase-activating protein, Target of the E3 ligase SPL11, Negative regulation of programmed cell death and innate immunity, Splicing isoform of SPIN6 ","Biological Process: signal transduction (GO:0007165), "
Os07g0658400,"Ferredoxin-dependent glutamate synthase, Leaf senescence and nitrogen remobilization","Biological Process: glutamate biosynthetic process (GO:0006537), Biological Process: nitrogen compound metabolic process (GO:0006807), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: glutamate synthase activity (GO:0015930), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)"
Os07g0658700,Phosphatidylinositol-4-phosphate 5-kinase family protein.,"Biological Process: phosphatidylinositol metabolic process (GO:0046488), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphatidylinositol phosphate kinase activity (GO:0016307), Molecular Function: 1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)"
Os07g0659100,Conserved hypothetical protein.,
Os07g0659300,Conserved hypothetical protein.,
Os07g0659500,"Non-SMC condensin subunit, XCAP-D2/Cnd1 family protein.","Biological Process: mitosis (GO:0007067), Biological Process: chromosome condensation (GO:0030261), Cellular Component: nucleus (GO:0005634), Molecular Function: binding (GO:0005488)"
Os07g0659700,Similar to SKIP5-like protein.,
Os07g0659900,Thioredoxin fold domain containing protein.,"Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"
Os07g0660000,"Similar to cDNA clone:J013120J20, full insert sequence.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)"
Os07g0660400,Similar to pseudouridine synthase family protein.,
Os07g0660700,WD repeat protein 55 domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0661300,Similar to Ubiquitin-specific protease 24.,"Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Molecular Function: ubiquitin thiolesterase activity (GO:0004221)"
Os07g0661400,Conserved hypothetical protein.,
Os07g0661500,Hypothetical conserved gene.,
Os07g0661550,Similar to PHD finger family protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os07g0661600 ,"Similar to RNA-binding protein-like protein., Similar to RNA-binding protein. ","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), "
Os07g0661700,Conserved hypothetical protein.,
Os07g0661800,Similar to Nucleolar protein Nop56.,
Os07g0662500,Similar to Elongation factor 1-beta' (EF-1-beta').,"Biological Process: translational elongation (GO:0006414), Cellular Component: eukaryotic translation elongation factor 1 complex (GO:0005853), Molecular Function: translation elongation factor activity (GO:0003746)"
