Locus_ID,Description,GO,,
Os12g0485600,"Amino acid transporter, transmembrane domain containing protein.",,,
Os12g0486800,Hypothetical protein.,,,
Os12g0486900,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0487500,Hypothetical conserved gene.,,,
Os12g0488900,Armadillo-like helical domain containing protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: binding (GO:0005488)",,
Os12g0489100,Similar to Ubiquitin-specific protease 12.,"Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Molecular Function: ubiquitin thiolesterase activity (GO:0004221), Molecular Function: protein binding (GO:0005515)",,
Os12g0489200,Ubiquitin-specific protease 12.,,,
Os12g0489400 ,"Hypothetical protein., Hypothetical gene. ",,,
Os12g0489800,Similar to NBS-LRR protein (Fragment).,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0490050,Conserved hypothetical protein.,,,
Os12g0492600,Hypothetical gene.,,,
Os12g0495600,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0496900,SSXT family protein.,,,
Os12g0498300,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os12g0498500,"Similar to DnaJ domain containing protein, expressed.",Molecular Function: heat shock protein binding (GO:0031072),,
Os12g0498650,"Protein kinase, catalytic domain domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0498900,Conserved hypothetical protein.,,,
Os12g0500800,Conserved hypothetical protein.,,,
Os12g0502200,Similar to Low temperature-responsive RNA-binding protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,
Os12g0502300,Similar to Cyclin A-like protein (Fragment).,"Biological Process: regulation of cyclin-dependent protein kinase activity (GO:0000079), Biological Process: regulation of cell cycle (GO:0051726), Cellular Component: nucleus (GO:0005634), Molecular Function: protein kinase binding (GO:0019901)",,
Os12g0503000 ,"Allantoin transporter, Ureide metabolism, Nitrogen molecular sensor, Similar to Ureide permease 4., Similar to Allantoin permease. ","Biological Process: nitrogen compound transport (GO:0071705), ",,
Os12g0503200 ,"Similar to TRANSLATION INITIATION FACTOR IF-2P., Translation elongation and initiation factors/Ribosomal, beta-barrel domain containing protein. ",,,
Os12g0503300,Similar to Ureide permease 2.,,,
Os12g0506500,"Calmodulin-binding, plant domain containing protein.",,,
Os12g0507000 ,"Similar to Molybdopterin biosynthesis CNX2 protein (Molybdenum cofactor biosynthesis enzyme CNX2)., Similar to CNX2 (COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2); catalytic. ","Biological Process: Mo-molybdopterin cofactor biosynthetic process (GO:0006777), Biological Process: metabolic process (GO:0008152), Cellular Component: molybdopterin synthase complex (GO:0019008), Molecular Function: catalytic activity (GO:0003824), Molecular Function: metal ion binding (GO:0046872), Molecular Function: iron-sulfur cluster binding (GO:0051536), Molecular Function: 4 iron, 4 sulfur cluster binding (GO:0051539)",,
Os12g0507200,Similar to Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-4D).,"Biological Process: translational frameshifting (GO:0006452), Biological Process: peptidyl-lysine modification to hypusine (GO:0008612), Biological Process: positive regulation of translational elongation (GO:0045901), Biological Process: positive regulation of translational termination (GO:0045905), Molecular Function: RNA binding (GO:0003723), Molecular Function: translation elongation factor activity (GO:0003746), Molecular Function: ribosome binding (GO:0043022)",,
Os12g0507300,"Similar to WRKY DNA binding domain containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)",,
Os12g0507350,Non-protein coding transcript.,,,
Os12g0508100,Acrosin precursor (EC 3.4.21.10) (53 kDa fucose-binding protein).,Cellular Component: integral to membrane (GO:0016021),,
Os12g0508200 ,Conserved hypothetical protein. ,,,
Os12g0508300,40S ribosomal protein S29.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os12g0509100,Conserved hypothetical protein.,,,
Os12g0509900,Hypothetical conserved gene.,,,
Os12g0510500,Conserved hypothetical protein.,,,
Os12g0510900,Similar to LIM domain protein WLIM-1.,Molecular Function: zinc ion binding (GO:0008270),,
Os12g0511000,"Similar to F-box domain containing protein, expressed.",,,
Os12g0511300 ,"CLT(CRT-like transporter) protein containing no plastid target signal peptide, UAA transporter domain containing protein. ",", Biological Process: transmembrane transport (GO:0055085)",,
Os12g0511400 ,"Similar to NB-ARC domain containing protein., NB-ARC domain containing protein. ","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0511500,Disease resistance protein domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0511600,Similar to NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0511900,"Similar to NB-ARC domain containing protein, expressed.","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0512100,Sugar/inositol transporter domain containing protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)",,
Os12g0512400 ,"Similar to NB-ARC domain containing protein, expressed., Conserved hypothetical protein. ","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531), ",,
Os12g0514000,Similar to Sorbitol transporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)",,
Os12g0514400,Potyvirus VPg interacting protein (Fragment).,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0514500 ,"Similar to Heat-shock protein precursor., Similar to ATP binding. ","Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)",,
Os12g0515400 ,"Similar to Plastidic 2-oxoglutarate/malate transporter., Similar to plastidic 2-oxoglutarate/malate transporter. ","Biological Process: sodium ion transport (GO:0006814), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,
Os12g0515500,Similar to Zn-finger transcription factor.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0515600,Similar to Guanylate kinase (EC 2.7.4.8).,"Biological Process: purine nucleotide metabolic process (GO:0006163), Molecular Function: guanylate kinase activity (GO:0004385), Molecular Function: protein binding (GO:0005515)",,
Os12g0516300 ,"NB-ARC domain containing protein., Similar to NB-ARC domain containing protein., Hypothetical conserved gene. ","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531), ",,
Os12g0518000 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",,,
Os12g0518200,Similar to Integral membrane protein DUF6 containing protein.,,,
Os12g0527700,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: recognition of pollen (GO:0048544), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: sugar binding (GO:0005529), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0528000,Conserved hypothetical protein.,,,
Os12g0528100,Armadillo-like helical domain containing protein.,Molecular Function: binding (GO:0005488),,
Os12g0528400 ,"Similar to Glutathione synthetase., Similar to Glutathione synthetase (Fragment). ","Biological Process: glutathione biosynthetic process (GO:0006750), Molecular Function: glutathione synthase activity (GO:0004363), Molecular Function: ATP binding (GO:0005524), Molecular Function: ligase activity (GO:0016874)",,
Os12g0529200,Protein of unknown function DUF1618 domain containing protein.,,,
Os12g0530000,Similar to Histone H2A.,"Biological Process: nucleosome assembly (GO:0006334), Cellular Component: nucleosome (GO:0000786), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os12g0533400,Similar to Rac GTPase activating protein 1.,"Biological Process: signal transduction (GO:0007165), Cellular Component: intracellular (GO:0005622), Molecular Function: protein binding (GO:0005515)",,
Os12g0533600,Hypothetical conserved gene.,,,
Os12g0533700,"Phenylalanyl-tRNA synthetase, class IIc, mitochondrial domain containing protein.","Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: phenylalanyl-tRNA aminoacylation (GO:0006432), Biological Process: tRNA processing (GO:0008033), Biological Process: tRNA aminoacylation (GO:0043039), Cellular Component: cytoplasm (GO:0005737), Molecular Function: tRNA binding (GO:0000049), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: phenylalanine-tRNA ligase activity (GO:0004826), Molecular Function: ATP binding (GO:0005524)",,
Os12g0533800,Mitochondrial substrate/solute carrier domain containing protein.,,,
Os12g0534000,Similar to Dehydroquinate dehydratase/shikimate:NADP oxidoreductase (EC 4.2.1.10) (EC 1.1.1.25).,Molecular Function: nucleotide binding (GO:0000166),,
Os12g0534200,"Similar to Acyl carrier protein I, chloroplast precursor (ACP I).","Biological Process: fatty acid biosynthetic process (GO:0006633), Molecular Function: acyl carrier activity (GO:0000036), Molecular Function: phosphopantetheine binding (GO:0031177), Molecular Function: cofactor binding (GO:0048037)",,
Os12g0534400,Conserved hypothetical protein.,,,
Os12g0535400,"Similar to hydrolase, alpha/beta fold family protein.",,,
Os12g0536000,"Similar to 2, 3-biphosphoglycerate-independent phosphoglycerate mutase-related / phosphoglyceromutase-related.",,,
Os12g0538300,Dor1-like protein family protein.,,,
Os12g0538800,Kelch-type beta propeller domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os12g0539700 ,"Conserved hypothetical protein., Similar to OSIGBa0135L04.2 protein. ",,,
Os12g0539750,Hypothetical protein.,,,
Os12g0539751,"Nucleic acid-binding, OB-fold-like domain containing protein.",,,
Os12g0540700,Conserved hypothetical protein.,,,
Os12g0541000,Lumazine-binding protein family protein.,"Biological Process: riboflavin biosynthetic process (GO:0009231), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: riboflavin synthase activity (GO:0004746), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0541200 ,Conserved hypothetical protein. ,,,
Os12g0541300,"NADPH oxidase, Respiratory burst oxidase homolog, Ethylene-induced aerenchyma formation in roots under oxygen-deficient conditions","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664), Cellular Component: membrane (GO:0016020)",,
